Temperatura (°F),Peso específico G (lb/ft3),Densidad R (slugs/ft3),Viscosidad dinámica H (lb-s/ft2),Viscosidad cinemática N (ft2/s)
40,62.4,1.94,3.23e-5,1.67e-5
50,62.4,1.94,2.72e-5,1.40e-5
60,62.4,1.94,2.35e-5,1.21e-5
70,62.3,1.94,2.04e-5,1.05e-5
80,62.2,1.93,1.77e-5,9.15e-6
90,62.1,1.93,1.60e-5,8.29e-6
100,62.0,1.93,1.42e-5,7.37e-6
110,61.9,1.92,1.26e-5,6.55e-6
120,61.7,1.92,1.14e-5,5.94e-6
130,61.5,1.91,1.05e-5,5.49e-6
140,61.4,1.91,9.60e-6,5.03e-6
150,61.2,1.90,8.90e-6,4.68e-6
160,61.0,1.90,8.30e-6,4.38e-6
170,60.8,1.89,7.70e-6,4.07e-6
180,60.6,1.88,7.23e-6,3.84e-6
190,60.4,1.88,6.80e-6,3.62e-6
200,60.1,1.87,6.25e-6,3.35e-6
212,59.8,1.86,5.89e-6,3.17e-6

